Date	1W
21.02.2006	28.1926
22.02.2006	28.193
27.02.2006	28.1161
28.02.2006	28.0261
01.03.2006	28.016
02.03.2006	27.992
03.03.2006	27.843
06.03.2006	27.9085
07.03.2006	28.0543
08.03.2006	28.0309
09.03.2006	28.0244
10.03.2006	28.0269
13.03.2006	27.9748
14.03.2006	27.9444
15.03.2006	27.781
16.03.2006	27.6928
17.03.2006	27.6509
20.03.2006	27.6588
21.03.2006	27.7294
22.03.2006	27.741
23.03.2006	27.8482
24.03.2006	27.793
27.03.2006	27.7845
28.03.2006	27.7956
29.03.2006	27.7815
30.03.2006	27.6862
31.03.2006	27.6975
03.04.2006	27.6768
04.04.2006	27.5571
05.04.2006	27.5203
06.04.2006	27.5815
07.04.2006	27.6931
10.04.2006	27.6891
11.04.2006	27.6497
12.04.2006	27.697
13.04.2006	27.7055
14.04.2006	27.6998
17.04.2006	27.5602
18.04.2006	27.515
19.04.2006	27.476
20.04.2006	27.471
21.04.2006	27.4597
24.04.2006	27.4073
25.04.2006	27.3803
26.04.2006	27.3511
27.04.2006	27.287
28.04.2006	27.1661
02.05.2006	27.1783
03.05.2006	27.1708
04.05.2006	27.1149
05.05.2006	27.0818
10.05.2006	27.003
11.05.2006	26.9671
12.05.2006	26.8837
15.05.2006	27.0312
16.05.2006	26.969
17.05.2006	27.02
18.05.2006	26.9592
19.05.2006	27.0561
22.05.2006	26.9738
23.05.2006	26.9935
24.05.2006	26.994
25.05.2006	27.0248
26.05.2006	27.0455
29.05.2006	26.976
30.05.2006	26.9223
31.05.2006	27.0006
01.06.2006	27.01
02.06.2006	26.754
05.06.2006	26.7101
06.06.2006	26.8239
07.06.2006	26.8352
08.06.2006	27.005
09.06.2006	26.9999
13.06.2006	27.1038
14.06.2006	27.0258
15.06.2006	27.0169
16.06.2006	26.9053
19.06.2006	27.0295
20.06.2006	27.0368
21.06.2006	26.961
22.06.2006	27.034
23.06.2006	27.095
26.06.2006	27.0439
27.06.2006	27.0395
28.06.2006	27.068
29.06.2006	26.9852
30.06.2006	26.8275
03.07.2006	26.8492
04.07.2006	26.8364
05.07.2006	26.909
06.07.2006	26.867
07.07.2006	26.8325
10.07.2006	26.8852
11.07.2006	26.8445
12.07.2006	26.9065
13.07.2006	26.909
14.07.2006	26.964
17.07.2006	26.989
18.07.2006	27.0305
19.07.2006	26.9545
20.07.2006	26.899
21.07.2006	26.8538
24.07.2006	26.9058
25.07.2006	26.9555
26.07.2006	26.902
27.07.2006	26.7825
28.07.2006	26.777
31.07.2006	26.7945
01.08.2006	26.7349
02.08.2006	26.7655
03.08.2006	26.7495
04.08.2006	26.6843
07.08.2006	26.703
08.08.2006	26.7165
09.08.2006	26.6841
10.08.2006	26.7435
11.08.2006	26.8116
14.08.2006	26.8217
15.08.2006	26.7507
16.08.2006	26.7208
17.08.2006	26.73
18.08.2006	26.7209
21.08.2006	26.6658
22.08.2006	26.745
23.08.2006	26.7576
24.08.2006	26.782
25.08.2006	26.7915
28.08.2006	26.7604
29.08.2006	26.7322
30.08.2006	26.7286
31.08.2006	26.7431
04.09.2006	26.6842
05.09.2006	26.6576
06.09.2006	26.66
07.09.2006	26.7205
08.09.2006	26.7908
11.09.2006	26.7798
12.09.2006	26.7873
13.09.2006	26.7705
14.09.2006	26.7597
15.09.2006	26.766
18.09.2006	26.7688
19.09.2006	26.783
20.09.2006	26.7775
21.09.2006	26.6732
22.09.2006	26.6746
25.09.2006	26.7194
26.09.2006	26.7783
27.09.2006	26.76
28.09.2006	26.7621
29.09.2006	26.7708
02.10.2006	26.6947
03.10.2006	26.747
04.10.2006	26.7591
05.10.2006	26.8005
06.10.2006	26.875
09.10.2006	26.8823
10.10.2006	26.9397
11.10.2006	26.9583
13.10.2006	26.9697
16.10.2006	26.9362
17.10.2006	26.9299
